90.00000	4.56055
90.50000	4.56543
91.00000	4.56543
91.50000	4.54102
92.00000	4.49707
92.50000	4.48242
93.00000	4.44824
93.50000	4.41895
94.00000	4.44824
94.50000	4.45313
95.00000	4.48730
95.50000	4.52148
96.00000	4.53125
96.50000	4.54102
97.00000	4.54102
97.50000	4.54590
98.00000	4.54590
98.50000	4.54590
99.00000	4.54590
99.50000	4.54590
100.00000	4.54590
100.50000	4.55078
101.00000	4.55078
101.50000	4.56055
102.00000	4.59473
102.50000	4.59961
103.00000	4.58984
103.50000	4.58984
104.00000	4.59473
104.50000	4.55566
105.00000	4.56055
105.50000	4.58008
106.00000	4.59961
106.50000	4.59961
107.00000	4.59961
107.50000	4.59473
108.00000	4.61914
108.50000	4.61426
109.00000	4.60938
109.50000	4.60938
110.00000	4.61426
110.50000	4.61426
111.00000	4.61426
111.50000	4.61426
